IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
34.80.236.98,4,4,0,134.65,0
34.80.236.98,4,4,0,164.29,0
34.80.236.98,4,4,0,164.62,0
35.221.215.38,4,4,0,165.36,0
34.80.236.98,4,4,0,166.95,0
34.80.236.98,4,4,0,168.89,0
35.229.191.119,4,4,0,169.33,0
34.80.236.98,4,4,0,171.07,0
35.236.177.203,4,4,0,171.34,0
34.80.236.98,4,4,0,174.86,0
